state_code,state,total_2016,turnout_by_mail_2016,percent_turnout_mail_2016,win_2016,percent_2016,color_2016,total_2020,turnout_by_mail_2020,percent_turnout_mail_2020,win_2020,percent_2020,color_2020,BIDEN_percent,BIDEN_votes,TRUMP_percent,TRUMP_votes
AL,Alabama,2137452,87553,0.040999999999999995,Republican,-0.27725146606435425,-8,2321377,300000,0.12923364020579164,Republican,-0.254,-6,0.366,849624,0.62,1441170
AK,Alaska,323288,26750,0.0827,Republican,-0.147306407874253,-4,358649,152000,0.42381269709381597,Republican,-0.10000000000000003,-2,0.428,153502,0.528,189543
AZ,Arizona,2722660,1991683,0.7315,Republican,-0.03545594627627843,-2,3384904,2471000,0.7300059322214161,Democratic,0.0030000000000000027,2,0.494,1672143,0.491,1661686
AR,Arkansas,1048513,26655,0.0254,Republican,-0.26920001839607455,-6,1218149,118000,0.09686828130220523,Republican,-0.276,-8,0.348,423916,0.624,760613
CA,California,14610494,8453683,0.5786,Democratic,0.30109273958009264,8,17374657,12090000,0.6958410747331588,Democratic,0.29300000000000004,8,0.636,11050282,0.34299999999999997,5959245
CO,Colorado,2884199,2631744,0.9125,Democratic,0.049055353714975686,2,3256649,2809000,0.8625430619019735,Democratic,0.13499999999999995,4,0.5539999999999999,1804184,0.419,1364467
CT,Connecticut,1675955,129480,0.0773,Democratic,0.13639386717895094,4,1825472,636000,0.34840304315815307,Democratic,0.20000000000000007,6,0.5920000000000001,1080680,0.392,715291
DE,Delaware,448217,13809,0.0308,Democratic,0.113732329309125,4,503857,148000,0.29373413488350864,Democratic,0.19,6,0.588,296268,0.39799999999999996,200603
DC,District of Columbia,0,0,0.0,Democratic,0.867763470706915,8,344541,191000,0.5543607292020398,Democratic,0.8669999999999999,8,0.9209999999999999,317323,0.054000000000000006,18586
FL,Florida,9613669,2657064,0.2764,Republican,-0.011986256107856879,-2,11058549,4737000,0.4283563784000957,Republican,-0.03300000000000003,-2,0.479,5297045,0.512,5668731
GA,Georgia,4147161,199356,0.0481,Republican,-0.051313426974101836,-2,4999004,1318000,0.2636525195819007,Democratic,0.0020000000000000018,2,0.495,2474507,0.493,2461837
HI,Hawaii,437697,189225,0.4323,Democratic,0.3218281472570564,8,574772,484000,0.8420730306973896,Democratic,0.29400000000000004,8,0.637,366130,0.34299999999999997,196864
ID,Idaho,710495,200380,0.282,Republican,-0.31769418548217687,-8,867132,402000,0.46359723779078615,Republican,-0.307,-8,0.331,287021,0.638,554118
